Drug,SN505,SN508,SN515,SN517,SN521,SN528,SN529,SN531,SN534,SN553,SN575,SN598,SN579,SN601,SN655,SN667,SN674,SN677,SN683,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,Drug_rank,SN505_rank,SN508_rank,SN515_rank,SN517_rank,SN521_rank,SN528_rank,SN529_rank,SN531_rank,SN534_rank,SN553_rank,SN575_rank,SN598_rank,SN579_rank,SN601_rank,SN655_rank,SN667_rank,SN674_rank,SN677_rank,SN683_rank,SN735_rank,SN747_rank,SN753_rank,SN756_rank,SN758_rank,SN767_rank,SN787_rank,SN788_rank,SN799_rank,SN804_rank,SN810_rank,SN812_rank,SN820_rank
ERLOTINIB,0.035082928,0.232147928,0,0,0.101334728,0,0.331093413,-0.054157857,0.292874784,-0.005738897,-0.324790768,-0.399765795,0,0.103851056,0.536961139,-0.227820852,0.236323627,-0.125720313,0.077971316,0.064435622,0,0.416886199,0.3671203,0.988852187,0.925607785,0,0.47551195,-0.295237844,-0.264946176,-0.072622617,0,0.242466834,11,24,24,10.5,10,25,9,15,1,25,5,2,4,11,21,32,2,33,10,28,15,14.5,32,27,16,34,8.5,28,1,1,3,14.5,31
ETOPOSIDE,0.330505304,1.979254643,0,0,0.363231747,0.242814569,2.369931787,0.359084266,1.134498526,0,0,-0.16884691,0.348526227,0.4815307,0.228571051,0.495183928,0,-0.361118884,-0.236817724,0.223134993,0.165777337,0,0.235869713,-0.638427885,0,0.188840151,0.543967347,0.221186723,0.925940155,0.09903743,0.190022064,-0.097128076,12,28.5,30.5,10.5,10,29.5,24.5,28.5,22.5,29.5,13,12.5,11.5,28.5,32.5,18.5,28.5,12.5,6.5,2.5,20.5,29.5,10,20.5,4.5,12.5,29.5,29.5,27.5,29.5,22.5,29.5,1.5
FLUDARABINE PHOSPHATE,-0.307337458,0.202497772,0.022886981,0.083474892,0.013282914,0.237629259,0.775101863,0.403787198,0.16326521,0.022492026,0.015268399,0.125799926,0.02181072,0.126956124,0.452962509,0.006690525,0.002845344,-0.081906445,0.026382725,0.414538939,0.127786215,0.140574243,0.260623872,2.361702704,0.222581943,0.027804366,0.206522178,0.074871056,0.374714021,0.082164709,0.037109284,0,13,5,21,21,27,15,22,22,26,17,23,24,31,21,23,24,15,23,12,24,26,25,23,24,25,26,18,25,16,20,19,24,13
FLUOROURACIL,0.099217237,1.569247635,0.323747074,0,-0.001681389,0.942229117,0.591915735,0.638026947,1.087511556,0,0,0,0,-0.046052731,0.648665269,0,0,0.611756732,0.616371407,1.038171487,0.592670012,0,0.288068735,4.588021469,0,0,0.049549842,0.016970506,0.609098942,-0.132263523,0,0,14,26,29,34,10,2,33,18,30,28,13,12.5,22.5,11,4,33,9,12.5,32,33,33,34,10,26,33,12.5,8.5,18,14,25,2,14.5,13
FLUVASTATIN,-0.129048703,0,0,0,0,0,3.228623665,0,0,0,0,0,0,0,0,0.866284395,0,0.088116605,0,0,0,0,0,3.228623665,0,0,0,0,0.361268632,0,0,0,15,10.5,10.5,10.5,10,8,9,32.5,7.5,5,13,12.5,22.5,11,9,10.5,31.5,12.5,21.5,15.5,10.5,14.5,10,9,29.5,12.5,8.5,8.5,8.5,16.5,10.5,14.5,13
GEMCITABINE,-0.307337458,0.202497772,0.022886981,0.083474892,0.013282914,0.237629259,0.775101863,0.403787198,0.16326521,0.022492026,0.015268399,0.125799926,0.02181072,0.126956124,0.452962509,0.006690525,0.002845344,-0.081906445,0.026382725,0.414538939,0.127786215,0.140574243,0.260623872,2.361702704,0.222581943,0.027804366,0.206522178,0.074871056,0.374714021,0.082164709,0.037109284,0,16,5,21,21,27,15,22,22,26,17,23,24,31,21,23,24,15,23,12,24,26,25,23,24,25,26,18,25,16,20,19,24,13
IDARUBICIN,0.661010607,3.656108668,0,0,0.726463494,0.485629137,2.126753759,0.718168532,1.413613267,0,0,-0.337693819,0.336254402,0.251977909,0.457142102,0.254406276,0,-0.392514128,-0.12582218,0.446269986,0.331554673,0,1.058854876,-1.276855769,0,0.377680301,1.087934693,0.442373446,1.851880309,0.19807486,0.380044127,0,17,32,33,10.5,10,33,31,26,33,32,13,12.5,6,25,29,27,26,12.5,4,5,29,32,10,33,2,12.5,32,33,33,32,30,32,13
IRINOTECAN,0,0,0,0.103521163,0,0.44934011,0,0,0,0,0,-0.228106263,0,-0.097175977,0,0.051097059,0.125478963,0,0.116912958,0,0,0.648264761,0,0,0,0,0,0,0,-0.029165408,0,0,18,20,10.5,10.5,31,8,29,4,7.5,5,13,12.5,9,11,3,10.5,18,27,15.5,31,10.5,14.5,33,9,11,12.5,8.5,8.5,8.5,4.5,6,14.5,13
LOVASTATIN,-0.129048703,0,0,0,0,0,3.228623665,0,0,0,0,0,0,0,0,0.866284395,0,0.088116605,0,0,0,0,0,3.228623665,0,0,0,0,0.361268632,0,0,0,19,10.5,10.5,10.5,10,8,9,32.5,7.5,5,13,12.5,22.5,11,9,10.5,31.5,12.5,21.5,15.5,10.5,14.5,10,9,29.5,12.5,8.5,8.5,8.5,16.5,10.5,14.5,13
MEMANTINE,-0.34466445,-0.131821262,0,0,0.041185735,-0.035385793,0,0.512302328,0.167932541,-0.286181396,0,0,-0.415491855,0,0.34466445,2.262363293,-0.03066671,-0.469401979,0.279694832,-0.108330868,-0.124737529,0,0.594139507,0.124737529,0.172875356,0,0,0.131967107,0.638618646,-0.058955292,-1.216665778,0.068694177,20,3,1,10.5,10,19,2,4,28,19,2,12.5,22.5,3,9,21,34,3,2,32,1,1,10,29,14,24,8.5,8.5,20,26,4,1,28
METFORMIN,-0.305945413,0.019414055,0.035574341,0.040478066,0.015907451,0.107757332,0.462699058,0.119455487,0.062350749,0.128782561,-0.012388209,-0.620907479,0.014471281,0.012935734,0.052412405,0.14541982,0,-0.128602372,0.003848351,0.204129438,0.006440182,-0.009930939,0.024038548,2.571071136,0.048273846,0.050507936,0.011918855,-0.012526093,0,0,0.021001406,0.072489233,21,7,15,24,20,18,17,16,15,12,25,3,2,18,14,16,24,12.5,9,20,19,21,2,19,27,21,21,16,3,4.5,10.5,22,29
METHOTREXATE,1.182294351,1.045936818,0.189501302,0.099816706,0.262491769,1.421934003,1.649504229,0.710190776,1.0309656,0,0,0.404916263,0,0.271937339,0.50494405,0.077803183,0,0.110339922,0.105001537,1.039308484,0.030011623,-0.086910359,0.877399759,3.776638813,0,0,0.742940871,0.202301486,0.794362471,-0.038239233,-0.004255119,0,22,34,27,28,30,28,34,24,31,27,13,12.5,34,11,31,30,19,12.5,25,30,34,23,1,31,32,12.5,8.5,31,26,28,5,7,13
MINOXIDIL,0,0,0,-0.476112029,0,-0.249470158,0.476112029,0.591343504,0,0,0.465114388,0,0,0,0,0,0,0,0,0.397974921,0,0,0,0,0,0,0,0.147226982,0,1.170989728,0,0,23,20,10.5,10.5,1,8,1,17,29,5,13,30,22.5,11,9,10.5,9,12.5,15.5,15.5,24,14.5,10,9,11,12.5,8.5,8.5,21,4.5,34,14.5,13
