SN505,SN508,SN515,SN517,SN521,SN528,SN529,SN531,SN534,SN553,SN575,SN598,SN579,SN601,SN655,SN667,SN674,SN677,SN683,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,GeneID,Drug
0.146433674,0.093579002,0.03174688,0,0.562207666,-0.026389057,-0.020575074,-0.288892965,0.013397169,-0.53819416,0.026298568,0,-0.568964435,1.76621061,-0.174301281,0,1.445923032,0.073454837,-0.054864,0.53916111,1.748773631,0.26204616,0.269439168,-0.21687394,1.61724822,-0.162013022,0.702474375,0,0.152924319,1.678595692,0.541655933,0.748836879,ENSG00000164692,OCRIPLASMIN
0.874516777,0.401026924,0,0,0.283905149,0,-0.025021472,0.326394823,0.106782173,0.428466291,-0.012799498,0,0.572637482,1.668056815,0.460664561,0,0.603387348,0,0.237602345,0.486096729,1.065579649,0.23339661,0.13381022,-0.603523218,0.784580184,-0.141792206,0.624660071,0,0.864124262,2.558939446,0.353056931,1.447738262,ENSG00000163359,OCRIPLASMIN
0,0,0,0,0.590719526,0,0,0.969467876,0,1.950877736,0,0,0,0,0,1.29042666,0.661189595,0,0,0,0,0,-0.160209408,0,0,0,0,0,0.728667251,0,0,0.624865716,ENSG00000196878,OCRIPLASMIN
0.095383009,0.885245476,0,0,0.255331541,0,0,0,0.527382322,0,-0.06472752,0.184410498,0,-0.385261974,0.082310731,0.077139325,-0.004047818,-0.765473481,0.096871186,0.010966735,0,0,0,2.735568277,0.237790144,0,0,0.453980519,-0.001200625,0,0,0.866991319,ENSG00000172037,OCRIPLASMIN
0.239923184,-0.015752188,0,0,-0.325806468,0,0.042689542,0.067144696,0.252138936,0.715866879,0,0,1.121387464,1.742102021,0.221518359,0,0.041254977,0,0.207287843,0.12088297,0.95332513,0.150720188,0.269212767,-0.089496967,1.643411568,0.256130141,1.668080479,0,0.748556253,1.572467537,-0.087952267,1.170414687,ENSG00000142173,OCRIPLASMIN
0.437229354,0.808669069,0,0.050653657,0,0,0.437229354,0.466073422,0,0,0,0.603245101,0,0.007881224,0.407632262,0.437229354,0,0,0,0.019074193,0,-0.555017093,0,0,0,0.030342381,0,0,0.343713335,0.213784866,0,1.260080395,ENSG00000204291,OCRIPLASMIN
-0.005083022,1.150581893,0,0.050276661,-0.555559978,0,-0.117800148,0.154779931,0.019439605,0.9515794,0,0,0.098121921,0.670511118,-0.216189649,0,0.630551128,0.137998229,-0.270084554,0.08123961,0.579619418,0.10472183,-0.022151376,-0.020750274,-0.888844678,0.31615314,0.089168806,0,0.028892395,1.470370531,0.724432858,2.080082155,ENSG00000204262,OCRIPLASMIN
-0.466907581,1.355061364,0.031695596,0,0.011484994,0.639368353,-0.095269705,-0.23402582,-0.236759602,-0.107401183,-0.024686431,-0.294418789,-0.036333466,0.326217489,0.663569863,0.018815348,0.063330321,0.010030033,0.289371804,1.084795216,-0.057374419,1.105494366,-0.101998046,-0.183277754,-0.118285539,0.151605498,0.674599611,0.464221764,0.848023735,0.394354617,-0.131665051,0.778789127,ENSG00000091136,OCRIPLASMIN
0,0.603046272,0,-0.122377782,0,0,0,0.008456716,0.64590607,0,0,0,0,0,-0.402947065,0.067219222,0,0,0,0,0.388749168,0,0,0,0.379180371,0.522230287,0.354299717,0,0,0.786910702,0,1.320748566,ENSG00000187498,OCRIPLASMIN
1.171179225,0.430950384,0,0.019145533,0.464453654,0,0.466322526,0.246764492,0.144064625,0.435971938,0,0,0.570003118,2.332375412,0.573893893,0,0.809547281,0,0.138064228,0.543321069,1.403941378,0.314638432,0.153486238,-0.699783748,0.909718872,0.032406114,0.414424681,0,0.453774827,2.068873863,0.456794263,1.628787628,ENSG00000108821,OCRIPLASMIN
