DRUG CANDIDATE,SN503,SN504,SN505,SN508,SN512*,SN515,SN517,SN520,SN521,SN528,SN529,SN531,SN533,SN534,SN535,SN553,SN575,SN579,SN598,SN601,SN649,SN655,SN667,SN674,SN677,SN678,SN683,SN704,SN711,SN720,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,SN835,SN836
Memantine,0.00094401,0.001025877,0.001076792,0.001078373,0.000963741,0.000819958,0.001219935,0.001054348,0.001058874,0.000885598,0.001081275,0.001050547,0.001074582,0.001062014,0.001013937,0.001076252,0.001098769,0.000967729,0.001008369,0.000890087,0.000958554,0.000980867,0.00082,0.001016479,0.000970251,0.00102301,0.00082,0.000895332,0.000802973,0.000991277,0.000876904,0.000852432,0.000927168,0.00082,0.000805986,0.000994067,0.000804,0.000768516,0.000810806,0.000704383,0.000888089,0.000897909,0.001353463,0.001026987,0.001119699
Metformin,0.001024144,0.000824037,0.000920085,0.001064586,0.000939913,0.000835037,0.000933936,0.000929393,0.000979846,0.000890337,0.000819958,0.000917965,0.00083365,0.000862331,0.000849505,0.000813779,0.000805739,0.000892055,0.000733472,0.001103348,0.001049964,0.001164098,0.00082,0.000789604,0.00079525,0.000928479,0.000799042,0.001025867,0.000955336,0.000969422,0.001062508,0.00103988,0.000970385,0.001068104,0.00102828,0.000977497,0.000849198,0.001026414,0.000939712,0.000954741,0.00082,0.000923152,0.001138347,0.000899483,0.000797953
Methotrexate,0.000830805,0.000659327,0.001018903,0.000555938,0.000957683,0.000401472,0.000328487,0.000119988,0.000585158,5.28E-05,4.11E-05,0.000148804,0.000117646,0.000254044,2.95E-05,3.08E-05,7.99E-05,0.000646794,0.000286254,3.04E-05,0.000298078,2.57E-05,0.000142099,0.000338512,6.16E-05,0.000375748,3.10E-05,3.17E-05,0.000219307,0.000250117,5.70E-05,3.19E-05,0.00018744,2.39E-05,0.000249151,2.75E-05,0.000512084,0.000113516,0.000357958,0.000954008,0.000276277,0.000542403,5.07E-05,4.60E-05,2.92E-05
Methylene blue,0.000693031,0.001169241,0.001117607,0.000849037,0.000943633,0.000794908,0.001193094,0.001051966,0.00106734,0.000885023,0.001070968,0.000828908,0.001068687,0.000847859,0.000742015,0.001079739,0.000534245,0.000999999,0.000953107,0.000828568,0.000755146,0.000518937,0.000936163,0.000940857,0.000935864,0.001042128,0.00099907,0.000892162,0.000947833,0.000636248,0.000596258,0.000927466,0.000963869,0.000882826,0.000869274,0.000885915,0.000754232,0.000587778,0.000623072,2.00E-05,0.001019348,0.00086151,0.00061948,0.000950042,0.000911121
Minoxidil,0.001160479,0.001219938,0.001043157,0.001147303,0.001063206,0.001210934,0.001219938,0.001183132,0.001206655,0.00103966,0.001218917,0.001195884,0.001219938,0.001195512,0.001177091,0.00112986,0.000927427,0.000963827,0.001189678,0.001053549,0.001018981,0.001021025,0.001076788,0.001212356,0.001172124,0.001219999,0.001207375,0.001177037,0.001169402,0.000917925,0.001096376,0.001219999,0.001219999,0.001212143,0.000980917,0.00120918,0.000985109,0.001056872,0.000989197,0.000928222,0.001011418,0.000932171,0.000884831,0.00101692,0.00124794
Mitomycin C,0.000998255,0.00068525,0.000597187,0.000563862,0.000404838,0.000345629,0.000461389,0.00031466,0.000336683,0.000332364,0.000446331,0.000227755,0.000221159,0.000553001,0.000648315,0.000208598,0.000105333,0.000473479,0.000565955,0.000630815,0.000213843,9.51E-05,0.000640598,0.000507096,0.000245568,0.000501776,0.000211568,0.000311991,0.00028011,0.000730041,0.000304511,0.000360473,0.000388989,0.000468273,0.000620039,0.000130988,0.000400061,0.000285824,0.000367729,0.000668723,0.000371917,0.000581787,0.000698813,0.000458395,0.000354466
Mitoxantrone HCI,0.000386363,0.000480348,0.00037849,0.000193166,0.00013349,0.000142764,0.00014089,0.000149722,0.000158165,8.43E-05,0.00037654,0.000161078,0.000102799,0.000148787,0.000104609,8.52E-05,0.000265002,0.000592327,0.000132113,0.000160477,7.09E-05,1.96E-05,0.000341533,0.000223944,5.48E-05,0.000552528,8.46E-05,0.000104361,0.000100004,0.000137741,0.000123041,0.000254692,0.000419224,0.000259311,0.000289614,1.25E-05,5.43E-05,0.000279817,0.000196595,0.000550595,0.000124738,0.000205067,0.000257967,0.000165192,0.000188851
Mycophenolate mofetil,0.001115862,0.000894188,0.001067787,0.000896597,0.001092118,0.000367211,0.000947112,0.000532061,0.000518169,0.000757248,0.001114766,0.000754318,0.000744127,0.00084167,0.000762555,0.000426379,0.000119697,0.000923052,0.000518434,0.000858007,0.000794088,0.000185946,0.000999999,0.000409874,0.00062659,0.001026475,0.00037286,0.000592602,0.000853021,0.000773006,0.00048234,0.000938597,0.001036375,0.000746137,0.000914946,4.09E-05,0.000786374,0.000790576,0.000610587,0.000963597,0.000946092,0.000884402,0.000656984,0.00060679,0.000512013
Nelfinavir,0.001038024,0.001183292,0.00115874,0.00117994,0.001039991,0.000994727,0.001072139,0.001119562,0.00107851,0.000799477,0.001065929,0.000780619,0.001118174,0.001025309,0.000782772,0.00111513,0.000808279,0.000966684,0.001214409,0.000918738,0.000959367,0.000820766,0.000855507,0.000966119,0.00099484,0.001000138,0.001067166,0.001111846,0.001064826,0.000870093,0.001056106,0.001203081,0.001068716,0.001145629,0.001027467,0.000867054,0.000953181,0.000801441,0.001007094,0.000989932,0.001009901,0.001170548,0.001391264,0.00069211,0.000981724
Nisoldipine,0.00101031,0.000999949,0.001081551,0.000978655,0.000932863,0.000933109,0.001059068,0.000941733,0.001035977,0.000793866,0.000944218,0.000677844,0.000843706,0.000926634,0.000937545,0.000943498,0.000919892,0.000901425,0.000657751,0.000797296,0.00058936,0.000543002,0.000723965,0.000709543,0.000597276,0.000807798,0.000645561,0.000601973,0.000469206,0.000733694,0.000621315,0.000751817,0.000889209,0.000650201,0.000825649,0.000332549,0.000663169,0.000566714,0.000580616,0.000779935,0.000863825,0.000999999,0.000537276,0.000695119,0.000815778
