,31_SN758-Neurosphere-P6_zscore
652,1.0
653,1.0
654,1.0
655,1.0
661,1.0
662,1.0
663,1.0
677,1.0
678,1.0
680,1.0
691,1.0
694,1.0
696,1.0
698,1.0
700,1.0
703,1.0
704,1.0
705,1.0
706,1.0
710,1.0
712,1.0
714,1.0
716,1.0
719,1.0
723,1.0
734,1.0
737,1.0
743,1.0
773,1.0
779,1.0
787,1.0
789,1.0
790,1.0
792,1.0
794,1.0
795,1.0
796,1.0
799,1.0
800,1.0
801,1.0
803,1.0
804,1.0
810,1.0
811,1.0
828,1.0
831,1.0
835,1.0
837,1.0
838,1.0
885,1.0
888,1.0
889,1.0
892,1.0
897,1.0
943,1.0
965,1.0
1054,1.0
1067,1.0
1079,1.0
1094,1.0
1095,1.0
1096,1.0
1100,1.0
1103,1.0
1119,1.0
1124,1.0
1153,1.0
1161,1.0
1163,1.0
1170,1.0
1173,1.0
1178,1.0
1199,1.0
1204,1.0
1224,1.0
1239,1.0
1302,1.0
1304,1.0
1307,1.0
1313,1.0
1326,1.0
1332,1.0
1372,1.0
1396,1.0
1398,1.0
1399,1.0
1404,1.0
1427,1.0
1429,1.0
1432,1.0
1433,1.0
1438,1.0
1440,1.0
1482,1.0
1483,1.0
1485,1.0
1486,1.0
1495,1.0
1497,1.0
1502,1.0
1503,1.0
1513,1.0
1518,1.0
1519,1.0
1520,1.0
1523,1.0
1526,1.0
1528,1.0
1534,1.0
1540,1.0
1545,1.0
1546,1.0
1550,1.0
1551,1.0
1554,1.0
1555,1.0
1556,1.0
1557,1.0
1558,1.0
1559,1.0
1560,1.0
1563,1.0
1565,1.0
1568,1.0
1569,1.0
1570,1.0
1571,1.0
1574,1.0
1575,1.0
1576,1.0
1581,1.0
1585,1.0
1589,1.0
1595,1.0
1628,1.0
1638,1.0
1640,1.0
1641,1.0
1644,1.0
1645,1.0
1646,1.0
1647,1.0
1648,1.0
1652,1.0
1653,1.0
1655,1.0
1658,1.0
1662,1.0
1675,1.0
1678,1.0
1680,1.0
1706,1.0
1707,1.0
1709,1.0
1723,1.0
1729,1.0
1774,1.0
1775,1.0
1834,1.0
1835,1.0
1838,1.0
1839,1.0
1840,1.0
1889,1.0
1939,1.0
1940,1.0
1947,1.0
1977,1.0
1985,1.0
2031,1.0
2032,1.0
2033,1.0
2035,1.0
2039,1.0
2043,1.0
2052,1.0
2053,1.0
2085,1.0
2090,1.0
2094,1.0
2095,1.0
2100,1.0
2106,1.0
2158,1.0
2159,1.0
2168,1.0
2185,1.0
2266,1.0
2284,1.0
2290,1.0
2291,1.0
2302,1.0
2359,1.0
2366,1.0
2368,1.0
2388,1.0
2416,1.0
2421,1.0
2444,1.0
2460,1.0
2473,1.0
2474,1.0
2477,1.0
2481,1.0
2482,1.0
2483,1.0
2484,1.0
2519,1.0
2523,1.0
2528,1.0
2585,1.0
2587,1.0
2588,1.0
2593,1.0
2596,1.0
2597,1.0
2604,1.0
2627,1.0
2628,1.0
2629,1.0
2633,1.0
2651,1.0
2695,1.0
2696,1.0
2701,1.0
2703,1.0
2706,1.0
2717,1.0
2725,1.0
2757,1.0
2821,1.0
2822,1.0
2823,1.0
2825,1.0
2827,1.0
2830,1.0
2836,1.0
2837,1.0
2839,1.0
2840,1.0
2842,1.0
2844,1.0
2847,1.0
2899,1.0
2910,1.0
2946,1.0
2986,1.0
2992,1.0
3008,1.0
3018,1.0
3019,1.0
3021,1.0
3035,1.0
3070,1.0
3074,1.0
3075,1.0
3080,1.0
3082,1.0
3098,1.0
3115,1.0
3116,1.0
3117,1.0
3118,1.0
3123,1.0
3125,1.0
3153,1.0
3179,1.0
3181,1.0
3187,1.0
3194,1.0
3201,1.0
3206,1.0
3232,1.0
3242,1.0
3267,1.0
3271,1.0
3297,1.0
3299,1.0
3303,1.0
3324,1.0
3328,1.0
3329,1.0
3333,1.0
3377,1.0
3379,1.0
3404,1.0
3405,1.0
3418,1.0
3421,1.0
3422,1.0
3458,1.0
3463,1.0
3477,1.0
3508,1.0
3509,1.0
3530,1.0
3545,1.0
3559,1.0
3575,1.0
3588,1.0
3592,1.0
3597,1.0
3635,1.0
3646,1.0
3649,1.0
3667,1.0
3675,1.0
3703,1.0
3707,1.0
3727,1.0
3732,1.0
