Regulon_ID,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3019,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3019,1,1.99333952,0.203703092,1.52E-06,2.243753404,1.575413121,1
3029,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3029,1,1.99333952,0.359211284,3.92E-18,3.209700196,2.76023087,1
3034,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3034,1,1.99333952,0.345066373,9.09E-17,2.084943818,1.40579806,1
3023,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3023,1,1.99333952,0.324832941,6.23E-15,2.055510225,1.374227419,1
3025,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3025,1,1.99333952,0.299440849,8.15E-13,2.007471382,1.32683211,1
3028,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3028,1,1.99333952,0.297110794,1.25E-12,3.678131888,3.438525047,1
3027,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3027,1,1.99333952,0.166782353,8.75E-05,2.114644101,1.43225761,1
3020,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3020,1,1.99333952,0.311647207,8.30E-14,2.573243835,1.94411879,1
3017,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3017,1,1.99333952,0.243235135,8.03E-09,2.218339494,1.546795327,1
3018,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000166949,R-3018,1,1.99333952,0.429214377,5.70E-26,2.389171592,1.732410341,1
3436,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000172845,R-3436,1,1.677820004,0.22136766,1.65E-07,2.583605105,1.950818434,1
3435,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000172845,R-3435,1,1.677820004,0.140011946,0.001015083,2.608973308,1.990914632,1
804,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,R-804,1,2.360130155,-0.177880633,2.81E-05,-2.444115112,1.804052058,1
789,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,R-789,1,2.360130155,0.492816343,7.11E-35,2.010144823,1.329734503,1
793,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,R-793,1,2.360130155,0.529262452,6.91E-41,2.654865362,2.042587485,1
795,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,R-795,1,2.360130155,0.594529671,1.12E-53,2.913565282,2.366360184,1
