,Regulon_ID,PCA_1Var,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPVal,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMember,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
18,18,0.819431085,0.21082514,0.324537019,0,0.001996008,0.608605944,0.494894065,0.34525471,0.611446591,0,0.001996008,0.474176375,0.207984494
19,19,0.583552469,0.147176682,0.296405185,0,0.001996008,0.436375787,0.287147284,0.400282633,0.484250147,20,0.041916168,0.183269835,0.099302322
20,20,0.585672633,0.128938846,0.288308294,0,0.001996008,0.456733787,0.297364339,0.319446862,0.417566189,0,0.001996008,0.266225771,0.168106445
21,21,0.689054208,0.180379918,0.351545705,0,0.001996008,0.508674289,0.337508502,0.315462089,0.447655636,0,0.001996008,0.373592119,0.241398572
22,22,0.695969943,0.120623191,0.342722493,0,0.001996008,0.575346752,0.35324745,0.379858914,0.530724158,0,0.001996008,0.31611103,0.165245785
23,23,0.567828035,0.132114741,0.165437294,0,0.001996008,0.435713294,0.402390741,0.218260783,0.481709221,0,0.001996008,0.349567252,0.086118815
24,24,0.567204047,0.133836429,0.150510474,0,0.001996008,0.433367618,0.416693573,0.185523916,0.50653262,0,0.001996008,0.381680131,0.060671427
25,25,0.750911151,0.144821279,0.29413983,0,0.001996008,0.606089872,0.456771321,0.435956913,0.643840815,0,0.001996008,0.314954238,0.107070336
26,26,0.593153263,0.161394736,0.302282166,0,0.001996008,0.431758527,0.290871097,0.286031873,0.376314946,0,0.001996008,0.30712139,0.216838317
27,27,0.707047731,0.175330438,0.347184646,0,0.001996008,0.531717293,0.359863085,0.316320281,0.403531271,0,0.001996008,0.39072745,0.30351646
28,28,0.777039255,0.170446794,0.328500281,0,0.001996008,0.606592461,0.448538975,0.386185652,0.59572958,0,0.001996008,0.390853604,0.181309676
29,29,0.764919216,0.118218865,0.33943503,0,0.001996008,0.646700352,0.425484187,0.343386325,0.552886445,0,0.001996008,0.421532892,0.212032771
30,30,0.767816379,0.169597865,0.378526,0,0.001996008,0.598218514,0.389290379,0.327459837,0.527158423,0,0.001996008,0.440356542,0.240657956
31,31,0.567471127,0.130764888,0.169529196,0,0.001996008,0.43670624,0.397941932,0.181135504,0.483909241,0,0.001996008,0.386335623,0.083561886
32,32,0.672556599,0.151438367,0.304830943,0,0.001996008,0.521118232,0.367725656,0.295832601,0.484914346,0,0.001996008,0.376723998,0.187642253
33,33,0.816478373,0.217959233,0.386302845,0,0.001996008,0.59851914,0.430175529,0.317938455,0.451902441,0,0.001996008,0.498539918,0.364575932
34,34,0.497934749,0.131586809,0.13334452,0,0.001996008,0.36634794,0.364590229,0.372895581,0.49098884,4,0.00998004,0.125039168,0.006945909
35,35,0.520006531,0.144626315,0.165326593,0,0.001996008,0.375380216,0.354679938,0.209533575,0.467393493,0,0.001996008,0.310472956,0.052613038
36,36,0.616110116,0.169663803,0.186300475,0,0.001996008,0.446446313,0.429809642,0.167968856,0.458486176,0,0.001996008,0.44814126,0.157623941
37,37,0.416412241,0.138176798,0.168527552,0,0.001996008,0.278235443,0.247884689,0.197108673,0.302414676,0,0.001996008,0.219303568,0.113997565
38,38,0.65304894,0.145275423,0.185590564,0,0.001996008,0.507773517,0.467458377,0.208088124,0.545297478,0,0.001996008,0.444960817,0.107751463
39,39,0.606800022,0.138270492,0.175106796,0,0.001996008,0.46852953,0.431693226,0.235496716,0.520388575,0,0.001996008,0.371303305,0.086411447
40,40,0.631540647,0.129161549,0.181263059,0,0.001996008,0.502379098,0.450277588,0.241754015,0.566860081,0,0.001996008,0.389786632,0.064680566
41,41,0.645322497,0.160893512,0.191574474,0,0.001996008,0.484428984,0.453748023,0.182496716,0.525982029,0,0.001996008,0.462825781,0.119340467
