Regulon_ID,Regulator,Gene,Entrez_gene,IfCoexpDiseaseRelevantMutSig,GeneSymbol
4,ENSG00000126351,ENSG00000026297,8635,yes,RNASET2
4,ENSG00000126351,ENSG00000162511,7805,yes,LAPTM5
4,ENSG00000126351,ENSG00000011600,7305,yes,TYROBP
4,ENSG00000126351,ENSG00000174125,7096,yes,TLR1
4,ENSG00000126351,ENSG00000137801,7057,yes,THBS1
4,ENSG00000126351,ENSG00000160691,6464,yes,SHC1
4,ENSG00000126351,ENSG00000107562,6387,yes,CXCL12
4,ENSG00000126351,ENSG00000122862,5552,yes,SRGN
4,ENSG00000126351,ENSG00000180644,5551,yes,PRF1
4,ENSG00000126351,ENSG00000131446,4245,yes,MGAT1
4,ENSG00000126351,ENSG00000129038,4016,yes,LOXL1
4,ENSG00000126351,ENSG00000043462,3937,yes,LCP2
4,ENSG00000126351,ENSG00000136167,3936,yes,LCP1
4,ENSG00000126351,ENSG00000182866,3932,yes,LCK
4,ENSG00000126351,ENSG00000115232,3676,yes,ITGA4
4,ENSG00000126351,ENSG00000128604,3663,yes,IRF5
4,ENSG00000126351,ENSG00000147168,3561,yes,IL2RG
4,ENSG00000126351,ENSG00000060558,2769,yes,GNA15
4,ENSG00000126351,ENSG00000075426,2355,yes,FOSL2
4,ENSG00000126351,ENSG00000115414,2335,yes,FN1
4,ENSG00000126351,ENSG00000153071,1601,yes,DAB2
4,ENSG00000126351,ENSG00000103811,1512,yes,CTSH
4,ENSG00000126351,ENSG00000164733,1508,yes,CTSB
4,ENSG00000126351,ENSG00000064666,1265,yes,CNN2
4,ENSG00000126351,ENSG00000109861,1075,yes,CTSC
4,ENSG00000126351,ENSG00000104894,951,yes,CD37
4,ENSG00000126351,ENSG00000010671,695,yes,BTK
4,ENSG00000126351,ENSG00000168421,399,yes,RHOH
4,ENSG00000126351,ENSG00000177105,391,yes,RHOG
4,ENSG00000126351,ENSG00000130208,341,yes,APOC1
4,ENSG00000126351,ENSG00000006534,221,yes,ALDH3B1
4,ENSG00000126351,ENSG00000282608,140,yes,ADORA3
6,ENSG00000126351,ENSG00000102359,27286,yes,SRPX2
6,ENSG00000126351,ENSG00000034510,9168,yes,TMSB10
6,ENSG00000126351,ENSG00000135535,8763,yes,CD164
6,ENSG00000126351,ENSG00000120708,7045,yes,TGFBI
6,ENSG00000126351,ENSG00000139329,4060,yes,LUM
6,ENSG00000126351,ENSG00000150093,3688,yes,ITGB1
6,ENSG00000126351,ENSG00000262795,3460,yes,IFNGR2
6,ENSG00000126351,ENSG00000076662,3385,yes,ICAM3
6,ENSG00000126351,ENSG00000153113,831,yes,CAST
8,ENSG00000126351,ENSG00000103145,54985,yes,HCFC1R1
8,ENSG00000126351,ENSG00000213672,51517,yes,NCKIPSD
8,ENSG00000126351,ENSG00000108641,27077,yes,B9D1
8,ENSG00000126351,ENSG00000107175,10488,yes,CREB3
8,ENSG00000126351,ENSG00000221838,9179,yes,AP4M1
8,ENSG00000126351,ENSG00000188672,6006,yes,RHCE
8,ENSG00000126351,ENSG00000178802,4351,yes,MPI
8,ENSG00000126351,ENSG00000159228,873,yes,CBR1
14,ENSG00000126351,ENSG00000172890,55191,yes,NADSYN1
14,ENSG00000126351,ENSG00000138080,11117,yes,EMILIN1
14,ENSG00000126351,ENSG00000120889,8795,yes,TNFRSF10B
14,ENSG00000126351,ENSG00000244165,5032,yes,P2RY11
14,ENSG00000126351,ENSG00000134574,1643,yes,DDB2
24,ENSG00000196712,ENSG00000119655,100616211,yes,NPC2
24,ENSG00000196712,ENSG00000159216,100506403,yes,RUNX1
24,ENSG00000196712,ENSG00000162711,114548,yes,NLRP3
24,ENSG00000196712,ENSG00000146094,79930,yes,DOK3
24,ENSG00000196712,ENSG00000172243,64581,yes,CLEC7A
24,ENSG00000196712,ENSG00000121064,59342,yes,SCPEP1
24,ENSG00000196712,ENSG00000158714,56833,yes,SLAMF8
24,ENSG00000196712,ENSG00000109667,56606,yes,SLC2A9
24,ENSG00000196712,ENSG00000135956,55654,yes,TMEM127
24,ENSG00000196712,ENSG00000091317,54918,yes,CMTM6
24,ENSG00000196712,ENSG00000173068,54796,yes,BNC2
24,ENSG00000196712,ENSG00000136404,53346,yes,TM6SF1
24,ENSG00000196712,ENSG00000093072,51816,yes,CECR1
24,ENSG00000196712,ENSG00000101916,51311,yes,TLR8
24,ENSG00000196712,ENSG00000110446,51296,yes,SLC15A3
24,ENSG00000196712,ENSG00000129450,27180,yes,SIGLEC9
24,ENSG00000196712,ENSG00000136305,27141,yes,CIDEB
24,ENSG00000196712,ENSG00000101347,25939,yes,SAMHD1
24,ENSG00000196712,ENSG00000162745,25903,yes,OLFML2B
24,ENSG00000196712,ENSG00000145779,25816,yes,TNFAIP8
24,ENSG00000196712,ENSG00000106100,10392,yes,NOD1
24,ENSG00000196712,ENSG00000130429,10095,yes,ARPC1B
