,Regulon_ID,PCA_1VarRembrandt,PCA_1RandomPValRembrandt,PCA_1RandomPValNonMemberRembrandt,PCA_1VarFrench,PCA_1RandomPValFrench,PCA_1RandomPValNonMemberFrench,PCA_1VarIvyAtlas,PCA_1RandomPValIvyAtlas,PCA_1RandomPValNonMemberIvyAtlas,PCA_1VarGSE7696,PCA_1RandomPValGSE7696,PCA_1RandomPValNonMemberGSE7696,PCA_1Var,PCA_1RandomPVal,PCA_1RandomPValNonMember,Mutation,Regulator,RegMutation_Pval_allPatients,EigenGenePValAllPatients,EigenGene_tstat_allPatients,MutationRegulatorEdge,Fraction_of_edges_correctly_aligned,HRFrench,Cox-p-valueFrench,HRGSE7696,Cox-p-valueGSE7696,HRRembrandt,Cox-p-valueRembrandt,HR,p-value,SpearmanCorrelationEigenGene,SpearmanCorrelationPValEigenGene
20,8,0.691060304,0.001996008,0.001996008,0.503734114,0.001996008,0.001996008,0.597746705,0.001996008,0.001996008,0.619065954,0.001996008,0.001996008,0.646326382,0.001996008,0.001996008,OR6V1_code_potential_somatic,ENSG00000126351,0.045034995,0.019749772,5.215106422,1,1.0,3.660132099,0.000252085,,,,,2.305692252,0.021127834,0.36053514,0.000197375
21,8,0.691060304,0.001996008,0.001996008,0.503734114,0.001996008,0.001996008,0.597746705,0.001996008,0.001996008,0.619065954,0.001996008,0.001996008,0.646326382,0.001996008,0.001996008,SCNN1G_code_potential_somatic,ENSG00000126351,0.019393073,0.044557325,-3.243600061,-1,1.0,3.660132099,0.000252085,,,,,2.305692252,0.021127834,0.36053514,0.000197375
22,14,0.937704861,0.001996008,0.001996008,0.728353961,0.001996008,0.001996008,0.791866294,0.001996008,0.001996008,0.889662528,0.001996008,0.001996008,0.66027168,0.001996008,0.001996008,IDH1_code_potential_somatic,ENSG00000126351,0.00170462,1.83e-06,-7.183423488,1,0.909090909,5.987670638,2.13e-09,,,5.804747317,6.45e-09,3.728498842,0.000192624,-0.554901706,2.34e-15
23,14,0.937704861,0.001996008,0.001996008,0.728353961,0.001996008,0.001996008,0.791866294,0.001996008,0.001996008,0.889662528,0.001996008,0.001996008,0.66027168,0.001996008,0.001996008,ADCY1_code_potential_somatic,ENSG00000126351,0.00011083,0.009545692,4.497261138,-1,1.0,5.987670638,2.13e-09,,,5.804747317,6.45e-09,3.728498842,0.000192624,-0.554901706,2.34e-15
24,14,0.937704861,0.001996008,0.001996008,0.728353961,0.001996008,0.001996008,0.791866294,0.001996008,0.001996008,0.889662528,0.001996008,0.001996008,0.66027168,0.001996008,0.001996008,ATRX_code_potential_somatic,ENSG00000126351,0.035534081,0.000384266,-4.557615519,1,0.888888889,5.987670638,2.13e-09,,,5.804747317,6.45e-09,3.728498842,0.000192624,-0.554901706,2.34e-15
25,14,0.937704861,0.001996008,0.001996008,0.728353961,0.001996008,0.001996008,0.791866294,0.001996008,0.001996008,0.889662528,0.001996008,0.001996008,0.66027168,0.001996008,0.001996008,C21orf29_code_potential_somatic,ENSG00000126351,0.002007973,1.08e-11,-7.188393104,1,1.0,5.987670638,2.13e-09,,,5.804747317,6.45e-09,3.728498842,0.000192624,-0.554901706,2.34e-15
26,14,0.937704861,0.001996008,0.001996008,0.728353961,0.001996008,0.001996008,0.791866294,0.001996008,0.001996008,0.889662528,0.001996008,0.001996008,0.66027168,0.001996008,0.001996008,DCHS2_code_potential_somatic,ENSG00000126351,0.042875981,0.049918649,2.667034436,-1,1.0,5.987670638,2.13e-09,,,5.804747317,6.45e-09,3.728498842,0.000192624,-0.554901706,2.34e-15
27,14,0.937704861,0.001996008,0.001996008,0.728353961,0.001996008,0.001996008,0.791866294,0.001996008,0.001996008,0.889662528,0.001996008,0.001996008,0.66027168,0.001996008,0.001996008,OR9G9_code_potential_somatic,ENSG00000126351,0.014458918,0.000246579,8.087201786,-1,1.0,5.987670638,2.13e-09,,,5.804747317,6.45e-09,3.728498842,0.000192624,-0.554901706,2.34e-15
28,14,0.937704861,0.001996008,0.001996008,0.728353961,0.001996008,0.001996008,0.791866294,0.001996008,0.001996008,0.889662528,0.001996008,0.001996008,0.66027168,0.001996008,0.001996008,PRAME_code_potential_somatic,ENSG00000126351,0.007362559,0.01294686,3.417888206,-1,0.8,5.987670638,2.13e-09,,,5.804747317,6.45e-09,3.728498842,0.000192624,-0.554901706,2.34e-15
29,14,0.937704861,0.001996008,0.001996008,0.728353961,0.001996008,0.001996008,0.791866294,0.001996008,0.001996008,0.889662528,0.001996008,0.001996008,0.66027168,0.001996008,0.001996008,SEMA3E_code_potential_somatic,ENSG00000126351,0.039070308,0.003264,5.149550165,-1,1.0,5.987670638,2.13e-09,,,5.804747317,6.45e-09,3.728498842,0.000192624,-0.554901706,2.34e-15
