Regulon_ID,HRFrench,Cox-p-valueFrench
1585,7.071480135,1.53E-12
442,7.067752772,1.57E-12
1546,-7.067744758,1.57E-12
1451,-7.066540622,1.59E-12
127,7.063534381,1.62E-12
422,7.063534381,1.62E-12
2052,7.063534381,1.62E-12
985,-7.06122728,1.65E-12
1036,7.060890001,1.65E-12
3193,7.060816998,1.66E-12
192,-7.059446541,1.67E-12
284,7.058087102,1.69E-12
2032,7.058076923,1.69E-12
1998,7.057852681,1.69E-12
2282,7.04512224,1.85E-12
1732,7.044205042,1.87E-12
519,7.038986544,1.94E-12
2454,7.037154242,1.96E-12
1339,7.033904422,2.01E-12
3648,7.032192556,2.03E-12
100,7.028180425,2.09E-12
626,7.024657465,2.15E-12
449,7.019799374,2.22E-12
1575,7.01878088,2.24E-12
1014,7.017782331,2.25E-12
3476,7.016528235,2.27E-12
1199,-7.015372667,2.29E-12
446,7.014891438,2.30E-12
3435,7.014090329,2.31E-12
2477,7.01138481,2.36E-12
99,7.009145568,2.40E-12
136,7.00786687,2.42E-12
1985,7.007699198,2.42E-12
3201,6.996070115,2.63E-12
1114,6.995920567,2.64E-12
1483,6.995788156,2.64E-12
3590,6.994928094,2.65E-12
705,6.99492267,2.65E-12
155,6.994865412,2.66E-12
1066,-6.992513323,2.70E-12
2280,6.991664339,2.72E-12
3705,6.990981197,2.73E-12
2659,-6.988052633,2.79E-12
1097,6.987967333,2.79E-12
466,6.9859567,2.83E-12
3200,6.985488514,2.84E-12
1170,-6.981261483,2.93E-12
2407,6.979587309,2.96E-12
1743,-6.977203606,3.01E-12
478,6.976603262,3.02E-12
1310,6.975848577,3.04E-12
2428,6.975500344,3.05E-12
2391,6.974922032,3.06E-12
195,-6.968167326,3.21E-12
246,6.96815614,3.21E-12
2847,6.965663522,3.27E-12
522,6.965166575,3.28E-12
2048,-6.964129783,3.30E-12
2827,6.963561108,3.32E-12
70,6.961576221,3.36E-12
1015,6.954214061,3.55E-12
1710,6.950500659,3.64E-12
213,6.948217146,3.70E-12
1087,-6.948159993,3.70E-12
680,6.945264086,3.78E-12
483,6.939557201,3.93E-12
3733,-6.938634893,3.96E-12
1083,-6.934539558,4.08E-12
